path,canonicalPath,wpId,wpType,wpStatus,template,authoritativeField,scopeRoles,sources,archetype,targetOwner,disposition,dependencyCount
/,/,8291,people,private,unknown,all-acf-fields,post-reference,posts.4850.acf.all-acf-fields.directors[1],person.public-profile,people,dependency-only,1
/,/,8293,people,private,unknown,all-acf-fields,post-reference,posts.4848.acf.all-acf-fields.directors[2],person.public-profile,people,dependency-only,1
/,/,9071,people,private,unknown,all-acf-fields,post-reference,posts.4850.acf.all-acf-fields.directors[2],person.public-profile,people,dependency-only,0
/,/,10487,product,private,unknown,all-acf-fields,post-reference,posts.10485.acf.all-acf-fields.product|posts.10489.acf.all-acf-fields.product,unknown:product,unresolved,dependency-only,2
/,/,10638,clients,draft,unknown,all-acf-fields,post-reference,posts.10490.acf.sections_new[9].components[2].category.specific[10],unknown:clients,unresolved,dependency-only,0
/,/,1898,page,publish,layouts/default-new.blade.php,sections_new,banner|site-home,posts.4363.acf.all-acf-fields.pages[0]|posts.7597.acf.all-acf-fields.pages[0]|scope.explicitIncludes.1898,page.homepage,pages,included,312
/,/,2207,page,private,layouts/careers.blade.php,all-acf-fields,reference-only,posts.2203.acf.sections_new[0].hero.new_content.buttons[1].new_link,page.homepage,pages,reference-only,0
/?page_id=2207,/,2207,page,private,layouts/careers.blade.php,all-acf-fields,footer,options.footer_new.menu_block[0].menu_items[3].page_link.link,page.homepage,pages,blocked-non-public,0
/acceptable-use-policy/,/legal/acceptable-use-policy/,8635,redirect,publish,redirect-rule,all-acf-fields,redirect,redirect:8635,redirect,redirects,redirect,0
/blog/,/resources/news-events-insights/,8362,redirect,publish,redirect-rule,all-acf-fields,redirect,redirect:8362,redirect,redirects,redirect,0
/brokersandexchanges/globalvision-bts/,/products/broker-trading-system/,8340,redirect,publish,redirect-rule,all-acf-fields,redirect,redirect:8340,redirect,redirects,redirect,0
/brokersandexchanges/globalvision-ets/,/products/exchange-trading-system/,8341,redirect,publish,redirect-rule,all-acf-fields,redirect,redirect:8341,redirect,redirects,redirect,0
/brokersandexchanges/hosted-clearing-links/,/products/hosted-clearing-links/,8342,redirect,publish,redirect-rule,all-acf-fields,redirect,redirect:8342,redirect,redirects,redirect,0
/careers/,/?page_id=2207,8369,redirect,publish,redirect-rule,all-acf-fields,redirect,redirect:8369,redirect,redirects,redirect,0
/clients/10234/,/clients/10234/,10234,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[4].columns[1].components[0].category.specific[13]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/42-financial/,/clients/42-financial/,3099,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1898.acf.sections_new[8].components[2].category.specific[0]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/7813/,/clients/7813/,7813,clients,publish,unknown,all-acf-fields,component-listing|post-reference,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0].category.specific[1]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
/clients/abaxx/,/clients/abaxx/,11655,clients,publish,unknown,all-acf-fields,component-listing,posts.10490.acf.sections_new[4].columns[1].components[0]|posts.10490.acf.sections_new[5].columns[1].components[0]|posts.10490.acf.sections_new[6].columns[1].components[0]|posts.10490.acf.sections_new[7].columns[1].components[0]|posts.10490.acf.sections_new[8].columns[1].components[0]|posts.10490.acf.sections_new[9].components[2]|posts.1898.acf.sections_new[8].components[2]|posts.1940.acf.sections_new[4].columns[0].components[1],unknown:clients,unresolved,dependency-only,1
